time,open,high,low,close
2023-08-14 21:00:00+00:00,1.09151,1.09524,1.08968,1.09044
2023-08-15 21:00:00+00:00,1.09085,1.09347,1.08716,1.08792
2023-08-16 21:00:00+00:00,1.08903,1.09186,1.08566,1.08723
2023-08-17 21:00:00+00:00,1.08686,1.08940,1.08450,1.08727
2023-08-20 21:00:00+00:00,1.08702,1.09138,1.08697,1.08957
2023-08-21 21:00:00+00:00,1.08932,1.09304,1.08330,1.08461
2023-08-22 21:00:00+00:00,1.08479,1.08715,1.08024,1.08629
2023-08-23 21:00:00+00:00,1.08660,1.08768,1.08050,1.08102
2023-08-24 21:00:00+00:00,1.08104,1.08418,1.07658,1.07944
2023-08-27 21:00:00+00:00,1.07970,1.08224,1.07934,1.08190
2023-08-28 21:00:00+00:00,1.08163,1.08920,1.07823,1.08788
2023-08-29 21:00:00+00:00,1.08754,1.09456,1.08552,1.09234
2023-08-30 21:00:00+00:00,1.09262,1.09398,1.08351,1.08434
2023-08-31 21:00:00+00:00,1.08413,1.08822,1.07721,1.07752
2023-09-03 21:00:00+00:00,1.07784,1.08090,1.07716,1.07966
2023-09-04 21:00:00+00:00,1.07958,1.07985,1.07065,1.07217
2023-09-05 21:00:00+00:00,1.07246,1.07490,1.07027,1.07272
2023-09-06 21:00:00+00:00,1.07244,1.07320,1.06861,1.06959
2023-09-07 21:00:00+00:00,1.07004,1.07438,1.06940,1.06992
2023-09-10 21:00:00+00:00,1.07156,1.07594,1.07084,1.07504
2023-09-11 21:00:00+00:00,1.07492,1.07694,1.07056,1.07566
2023-09-12 21:00:00+00:00,1.07540,1.07650,1.07112,1.07298
2023-09-13 21:00:00+00:00,1.07292,1.07523,1.06319,1.06440
2023-09-14 21:00:00+00:00,1.06388,1.06878,1.06333,1.06592
2023-09-17 21:00:00+00:00,1.06627,1.06989,1.06548,1.06919
2023-09-18 21:00:00+00:00,1.06874,1.07180,1.06752,1.06791
2023-09-19 21:00:00+00:00,1.06816,1.07369,1.06502,1.06599
2023-09-20 21:00:00+00:00,1.06591,1.06736,1.06169,1.06610
2023-09-21 21:00:00+00:00,1.06591,1.06718,1.06150,1.06448
2023-09-24 21:00:00+00:00,1.06546,1.06557,1.05753,1.05932
2023-09-25 21:00:00+00:00,1.05929,1.06091,1.05622,1.05720
2023-09-26 21:00:00+00:00,1.05698,1.05743,1.04880,1.05026
2023-09-27 21:00:00+00:00,1.05074,1.05790,1.04911,1.05664
2023-09-28 21:00:00+00:00,1.05616,1.06171,1.05581,1.05744
2023-10-01 21:00:00+00:00,1.05720,1.05919,1.04779,1.04780
2023-10-02 21:00:00+00:00,1.04788,1.04936,1.04485,1.04669
2023-10-03 21:00:00+00:00,1.04678,1.05322,1.04515,1.05040
2023-10-04 21:00:00+00:00,1.05034,1.05518,1.05000,1.05510
2023-10-05 21:00:00+00:00,1.05495,1.06002,1.04824,1.05872
2023-10-08 21:00:00+00:00,1.05532,1.05744,1.05195,1.05668
2023-10-09 21:00:00+00:00,1.05610,1.06199,1.05544,1.06047
2023-10-10 21:00:00+00:00,1.06044,1.06348,1.05818,1.06183
2023-10-11 21:00:00+00:00,1.06155,1.06399,1.05258,1.05283
2023-10-12 21:00:00+00:00,1.05318,1.05586,1.04954,1.05090
2023-10-15 21:00:00+00:00,1.05132,1.05628,1.05104,1.05593
2023-10-16 21:00:00+00:00,1.05606,1.05950,1.05329,1.05762
2023-10-17 21:00:00+00:00,1.05788,1.05945,1.05232,1.05360
2023-10-18 21:00:00+00:00,1.05341,1.06168,1.05282,1.05814
2023-10-19 21:00:00+00:00,1.05838,1.06038,1.05650,1.05948
2023-10-22 21:00:00+00:00,1.05968,1.06780,1.05715,1.06686
2023-10-23 21:00:00+00:00,1.06703,1.06946,1.05830,1.05910
2023-10-24 21:00:00+00:00,1.05880,1.06068,1.05658,1.05661
